,title,category,author_name,dates,num comments,num views,PER,LOC,ORG,MISC,group_PER,group_ORG,group_MISC,group_title_a,final_group
574,"Seventeen, Stray Kids, TXT and NewJeans named as the top 10 biggest global artists of 2023",News,Sophie-Ha,02/22/2024,11,"6,977",,,"Seventeen, Stray Kids, TXT, NewJeans",,,SEVENTEEN,,,SEVENTEEN
575,"Former SeeYa member Kim Yeon Ji unveils official music video teaser for ""HELLO""",Teaser,Sophie-Ha,02/22/2024,1,"1,285",Kim Yeon Ji,,SeeYa,##O,,SeeYa,,,SeeYa
576,RESCENE's Zena is at the center of attention even before the group's debut,News,Sophie-Ha,02/22/2024,18,"11,822",Zena,,RESCENE,,,RESCENE,,RESCENE,RESCENE
577,Xikers rolls out new comeback teaser poster gearing up for their March comeback,News,Sophie-Ha,02/22/2024,2,"1,985",,,Xikers,,,xikers,,,xikers
578,TEMPEST display their chic charms in the new teaser photos for their 5th mini-album 'TEMPEST Voyage',News,Sophie-Ha,02/22/2024,1,"1,654",,,TEMPEST,TEMPEST Voyage,,TEMPEST,,TEMPEST,TEMPEST
579,MAMAMOO's Whee In announces her first world tour 'Whee In The Mood',Teaser,Sophie-Ha,02/21/2024,7,"3,360",Whee In,,,Whee In The Mood,,,,MAMAMOO,MAMAMOO
580,BTS' j-hope reveals preview cuts for 'Hope on the Street Vol. 1' special album & docuseries,News,Germaine-Jay,02/21/2024,13,"3,065",,,,Hope on the Street Vol. 1,,,,BTS,BTS
581,TWICE sparkle in 'One Spark' MV teaser,Teaser,Germaine-Jay,02/21/2024,3,"3,098",,,TWICE,One Spark,,TWICE,,TWICE,TWICE
582,CRAVITY are ready to survive in 'Love or Die' concept photos for 'EVERSHINE',News,Germaine-Jay,02/21/2024,0,"1,405",,,,Love or Die,,,,CRAVITY,CRAVITY
583,TWS win #1 on this week's 'Show Champion' with 'plot twist',News,Sofia-Sayson,02/21/2024,4,"1,696",,,TWS,Champion,,TWS,,TWS,TWS
584,MIRAE signals bright Japan debut with entry on Oricon chart,News,Alec06,02/21/2024,0,"1,258",,Japan,Oricon,,,,,MIRAE,MIRAE
585,Discord rumors surface again among Secret members,Rumors,Alec06,02/21/2024,20,"35,770",,,Secret,,,Secret,,,Secret
586,Super Junior D&E to reportedly make comeback in March,News,Germaine-Jay,02/21/2024,4,"2,915",,,Super Junior D & E,,,SUPER JUNIOR-D&E,,,SUPER JUNIOR-D&E
587,BLACKPINK's Jisoo unveils new profile for her new label BLISSOO,News,Alec06,02/21/2024,37,"16,394",Jisoo,,"BL, BL, ##O",,,,,BLACKPINK,BLACKPINK
588,NCT Dream confirms comeback on March,News,Alec06,02/21/2024,0,"2,912",,,NCT Dream,,,NCT Dream,,NCT,NCT Dream
589,GOT7's Yugyeom lives a laundry dream in '1 Minute' MV,Music Video,Germaine-Jay,02/21/2024,2,"2,226",Yugyeom,,"GO, ##7",,,,,GOT7,GOT7
590,MIRAE makes waves with successful debut in Japan: 'RUNNING UP' album soars on charts,News,EunhaYi,02/21/2024,0,"1,553",,Japan,,RUNNING UP,,,,MIRAE,MIRAE
591,Korean netizens react to news that BTOB will be able to continue to use the group name,News,EunhaYi,02/21/2024,12,"9,333",,,BTOB,,,BTOB,,,BTOB
592,Our: YouthTeen' becomes The Wind's best-selling album in first-week sales,News,Sofia-Sayson,02/21/2024,1,"1,537",,,The Wind,Our : YouthTeen,,The Wind,,,The Wind
593,MAMAMOO's Moonbyul hits international success with solo album debut 'Starlit of Muse',News,EunhaYi,02/21/2024,5,"3,989",,,Moonby,Starlit of Muse,,,,MAMAMOO,MAMAMOO
594,TEMPEST rolls out new concept photos for their 5th mini-album 'TEMPEST Voyage',News,Sophie-Ha,02/21/2024,4,"1,578",,,TEMPEST,TEMPEST Voyage,,TEMPEST,,TEMPEST,TEMPEST
595,NCT WISH members grab attention with their exceptional visuals,News,Sophie-Ha,02/21/2024,9,"3,907",,,NCT WISH,,,NCT Wish,,NCT,NCT Wish
596,UNIQ member Sungjoo suspected of being married and already a father,Rumors,Sophie-Ha,02/21/2024,56,"29,330",Sungjoo,,UN,,,,,UNI,UNIS
597,TWICE's Nayeon flaunts her effortlessly sexy summer look in new Tommy Jeans S/S 2024 campaign,News,Sophie-Ha,02/20/2024,3,"4,822","Nayeon, Jean",,TWICE,"Tommy, ##s S / S",,TWICE,,TWICE,TWICE
598,NCT's Taeyong reveals highlight medley for 'TAP' in live performance,Teaser,Germaine-Jay,02/20/2024,5,"1,405",Taeyong,,NCT,,,NCT,,NCT,NCT
599,TWICE heal each other in 'One Spark' MV teaser,Teaser,Germaine-Jay,02/20/2024,5,"2,242",,,,One Spark,,,,TWICE,TWICE
600,LE SSERAFIM get on stage in 'EASY' performance MV,Music Video,Germaine-Jay,02/20/2024,10,"3,229",,,EA,##Y,,,,LE SSERAFIM,LE SSERAFIM
601,"""Girls Never Die"" chosen as the title track for tripleS' upcoming first OT24 album",News,anonymous1215151,02/20/2024,2,"2,082",,,"triple, OT24",Girls Never Die,,Triple H,,,tripleS
602,LUN8 reveal teaser schedule for 'BUFF' comeback,News,Germaine-Jay,02/20/2024,0,"1,232",,,"L, ##8",,,,,LUN8,LUN8
603,CRAVITY teases 'Love or Die' ahead of 'EVERSHINE' release,Teaser,Alec06,02/20/2024,1,"1,182",,,,"Love or Die, ##SHINE",,,,CRAVITY,CRAVITY
604,TEMPEST Hwarang's label issues apology after he's seen at club,News,Germaine-Jay,02/20/2024,45,"8,712",Hwarang,,TEMPEST,,,TEMPEST,,TEMPEST,TEMPEST
605,LE SSERAFIM's Sakura reveals why she was hesitant to visit HYBE's cafeteria,News,Alec06,02/20/2024,16,"13,740","Sakura, HYBE",,,,,,,LE SSERAFIM,LE SSERAFIM
606,SHINee's Taemin confirmed for performer lineup for first ever 'Asia Star Entertainer Awards',News,Germaine-Jay,02/20/2024,10,"9,821","SHINee, Taemin",,,Asia Star Entertainer Awards,SHINee,,,,SHINee
607,TWS bags 2nd music show win on this week's 'The Show',News,Sofia-Sayson,02/20/2024,2,"2,003",,,,The Show,,,,TWS,TWS
608,"Go Min Si joins 'Jinny's Kitchen 2', filling the vacancy left by BTS's V",News,Alec06,02/20/2024,9,"7,224",Go Min Si,,"Jin, BTS",##ny ' s Kitchen,,Jins,,,
609,"Song Yunhyeong set to make solo debut, continuing the trend of iKON members' solo endeavors",News,Alec06,02/20/2024,12,"3,090",Song Yunhyeong,,iKON,,,iKON,,,iKON
610,GOT7's Youngjae to hold 'Inside Out' solo show in Manila this weekend,News,Sofia-Sayson,02/20/2024,0,"1,817",Youngjae,Manila,GOT7,Inside Out,,GOT7,,GOT7,GOT7
611,Oh My Girl's YooA to make a solo comeback in March,News,Germaine-Jay,02/20/2024,14,"2,293",YooA,,,Oh My Girl,,,OH MY GIRL,,OH MY GIRL
612,BTS's Jungkook makes history as 'Seven (feat. Latto)' exceeds 1.4 billion Spotify streams,News,Sofia-Sayson,02/20/2024,14,"9,771","Jungkook, Latto",,BTS,Spotify,,BTS,,BTS,BTS
613,"J.Y. Park, Stray Kids, ITZY & NMIXX feel 'Like Magic' in MV for Coca-Cola collab",Music Video,Germaine-Jay,02/20/2024,11,"3,969",J. Y. Park,,"Stray Kids, ITZY, NMIXX, Coca - Cola",Like Magic,,Stray Kids,,,
615,LE SSERAFIM wrap up first-day sales for 3rd mini-album 'EASY',News,Sofia-Sayson,02/20/2024,3,"5,466",,,,EASY,,,,LE SSERAFIM,LE SSERAFIM
616,IVE’s Lee Seo releases ‘MAY LILY’ teaser for ‘I’m the Queen In This Life' OST,Teaser,Alec06,02/20/2024,6,"2,872",Lee Seo,,,I ’ m the Queen In This Life,,,,IVE,IVE
617,2PM's Jun.K set to ignite the stage with solo concert in Korea this April,News,EunhaYi,02/20/2024,4,"3,382",Jun. K,Korea,2:00 PM,,,2:00 PM,,,2PM
618,LE SSERAFIM's 'EASY' MV surpasses 10 million views in record time,News,EunhaYi,02/20/2024,5,"5,252",,,LE SSERAFIM,,,LE SSERAFIM,,LE SSERAFIM,LE SSERAFIM
619,MAMAMOO's Moon Byul embraces vocalist identity with first full-length album 'Starlit of Muse',News,EunhaYi,02/20/2024,1,"2,094",Moon Byul,,MA,Starlit of Muse,,,,MAMAMOO,MAMAMOO
620,RUN2U' becomes STAYC's 3rd song to hit 100 million Spotify streams,News,Sofia-Sayson,02/20/2024,7,"2,103",,,STAYC,Spotify,,STAYC,,,STAYC
621,BLACKPINK's JENNIE becomes the First Female K-Pop Soloist to have two songs exceed 500 Million streams on Spotify,News,Blink-News,02/20/2024,31,"3,691",JENNIE,,BLACKPINK,"Female K - Pop Soloist, Spotify",,BLACKPINK,,BLACKPINK,BLACKPINK
622,"IU, Taeyeon, and TWS top Instiz chart for the third week of February 2024",News,GhostWriter,02/20/2024,2,"2,154",##ye,,"IU, Tae, ##on, TWS, Inst",##iz,,TWS,,,TWS
623,"LE SSERAFIM talks showing new sides of themselves through 'EASY,' Coachella stage, and more",News,Sofia-Sayson,02/20/2024,28,"5,403",,Coachella,,,,,,LE SSERAFIM,LE SSERAFIM
624,T-ara member and actress Ham Eunjung signs Exclusive Contract with Mask Studio,News,kmsml,02/20/2024,4,"3,121",Ham Eunjung,,"T, ara, Mask Studio",,,Aria,,,T-ara
625,iKON's Bobby unveils the tracklist for his full album 'Sir. Robert',News,Sophie-Ha,02/20/2024,4,"8,311",Bobby,,iKON,Sir. Robert,,iKON,,,iKON
626,BTS's J-Hope drops a new teaser for his upcoming 'Hope on the Street' docuseries and special album release,Teaser,Sophie-Ha,02/19/2024,9,"2,215",J - Hope,,BTS,Hope on the Street,,BTS,,BTS,BTS
627,TWICE gives a sneak peek into their upcoming 13th mini-album 'With YOU-th',Teaser,Sophie-Ha,02/19/2024,12,"2,358",,,TWICE,YOU,,TWICE,,TWICE,TWICE
628,NCT WISH rolls out refreshing teaser photos for their debut single 'WISH',News,Sophie-Ha,02/19/2024,0,"1,554",,,NCT WISH,WISH,,NCT Wish,,NCT,NCT Wish
629,TWS showcases powerful dance moves in 'BFF' performance video,Misc,Alec06,02/19/2024,4,"1,469",,,BFF,,,,,TWS,TWS
630,aespa set to launch their second world tour,News,Alec06,02/19/2024,16,"11,275",,,aespa,,,aespa,,,aespa
631,LUN8 releases vibrant 'PASTEL' performance video,Music Video,Alec06,02/19/2024,1,"4,755",,,"L, ##8",,,,,LUN8,LUN8
632,LE SSERAFIM unveils ‘EASY’ music video,Music Video,Alec06,02/19/2024,62,"12,496",,,LE SSER,,,,,LE SSERAFIM,LE SSERAFIM
633,LE SSERAFIM shares candid feelings after the success of 'Perfect Night',News,Alec06,02/19/2024,7,"8,227",,,,Perfect Night,,,,LE SSERAFIM,LE SSERAFIM
634,KISS OF LIFE named ambassadors for global makeup brand Maybelline New York,News,Alec06,02/19/2024,8,"5,912",,,Maybelline New York,,,,,KISS,KISS OF LIFE
635,LE SSERAFIM to release 3rd mini album 'EASY' and host comeback showcase today,News,Alec06,02/19/2024,3,"6,669",,,LE SSERAFIM,EASY,,LE SSERAFIM,,LE SSERAFIM,LE SSERAFIM
636,THE BOYZ's Juyeon to attend 2024 NBA All-Star game as fashion ambassador,News,Alec06,02/19/2024,1,"3,306",Juyeon,,,NBA All - Star,,,,THE BOYZ,THE BOYZ
637,BTS Jin accidentally wishes J-hope 'Happy Birthday' under another member's post,News,Janie-Reign,02/19/2024,13,"18,647",BTS Jin,,,Happy Birthday,,,,BTS,BTS
638,tripleS reveals 4 more candidate songs for the title track of their comeback,News,anonymous1215151,02/19/2024,4,"2,243",,,tripleS,,,Triple7,,,tripleS
639,Former T-ara member Ahreum announces her Solo Album and Fan Meeting,News,kmsml,02/19/2024,11,"3,732",Ahreum,,"T, ara",Solo Album and Fan Meeting,,Aria,,,T-ara
640,"BTS's V (Kim Taehyung) wins 3 awards at the 31st Hanteo Music Awards, including ﻿﻿'Artist of the Year' Main Prize (Bonsang)",News,YeontanNews,02/19/2024,25,"10,383","Kim Taehyung, Bonsang",,BTS,"Hanteo Music Awards, Artist of the Year, Main Prize",,BTS,,BTS,BTS
641,TEMPEST unveils promotion scheduler for comeback with 5th mini album,News,Janie-Reign,02/19/2024,0,"1,721",,,TEMPEST,,,TEMPEST,,TEMPEST,TEMPEST
642,Red Velvet's Wendy drops official poster for 2nd solo mini album ‘Wish You Hell’,News,Janie-Reign,02/19/2024,15,"4,870",Wendy,,Red Velvet,Wish You Hell,,Red Velvet,,,Red Velvet
643,NCT WISH reveal nostalgic concept video and images for debut single 'WISH',Teaser,Janie-Reign,02/18/2024,1,"1,581",,,NCT WISH,WISH,,NCT Wish,,NCT,NCT Wish
644,tripleS showcase their swag in cover of EXO's 'Call Me Baby',Misc,Jia-Lin,02/18/2024,2,"2,760",EXO,,,Call Me Baby,EXO,,,,tripleS
645,IVE transform into Girl Scouts in group concept photos for 3rd official fan club 'DIVE',News,Jia-Lin,02/18/2024,42,"7,296",,,Girl Scouts,,,,,IVE,IVE
646,"IU wins #1 on 'Inkigayo' + Performances from NCT's Ten, P1Harmony, BIBI and more!",News,Jia-Lin,02/18/2024,4,"4,247",,,"NCT, B","Inkigayo, Ten, P1Harmony, ##IBI",,NCT,4TEN,,
647,"""Just seeing her makes me smile,"" Former Wonder Girls members Lim and Sunye boast their long-lasting friendship",News,Dani-Dee,02/18/2024,5,"4,728","Lim, Sunye",,Wonder Girls,,LIME,Wonder Girls,,,Wonder Girls
